2025-06-17 23:26:50,416 - INFO - Starting parallel data processing from directory: C:\Users\User\Projects\talbot\data\gm_games
2025-06-17 23:26:50,416 - INFO - Saving EACH processed PGN file to its own HDF5 file in: C:\Users\User\Projects\talbot\training\supervised\v3_pol_mvplayed_val_sfeval_more_games\data\processed_pgn_h5
2025-06-17 23:26:50,416 - INFO - Using 8 parallel workers.
2025-06-17 23:26:50,419 - INFO - Found 168 PGN files to process.
2025-06-17 23:43:07,303 - INFO - Processed PolgarS.pgn. Output: PolgarS.h5, Moves: 69950. Total moves so far: 69950
2025-06-17 23:43:10,041 - INFO - Processed PolgarZ.pgn. Output: PolgarZ.h5, Moves: 70175. Total moves so far: 140125
2025-06-17 23:48:31,836 - INFO - Processed Quinteros.pgn. Output: Quinteros.h5, Moves: 93357. Total moves so far: 233482
2025-06-17 23:56:28,710 - INFO - Processed Pillsbury.pgn. Output: Pillsbury.h5, Moves: 34711. Total moves so far: 268193
2025-06-17 23:56:36,465 - INFO - Processed Philidor.pgn. Output: Philidor.h5, Moves: 499. Total moves so far: 268692
2025-06-17 23:58:03,493 - INFO - Processed Psakhis.pgn. Output: Psakhis.h5, Moves: 134885. Total moves so far: 403577
2025-06-17 23:59:03,077 - INFO - Processed Polugaevsky.pgn. Output: Polugaevsky.h5, Moves: 138993. Total moves so far: 542570
2025-06-18 00:00:50,457 - INFO - Processed Pilnik.pgn. Output: Pilnik.h5, Moves: 77268. Total moves so far: 619838
2025-06-18 00:04:00,282 - INFO - Processed Paulsen.pgn. Output: Paulsen.h5, Moves: 26192. Total moves so far: 646030
2025-06-18 00:17:38,813 - INFO - Processed Ponomariov.pgn. Output: Ponomariov.h5, Moves: 220572. Total moves so far: 866602
2025-06-18 00:19:44,195 - INFO - Processed PolgarJ.pgn. Output: PolgarJ.h5, Moves: 160722. Total moves so far: 1027324
2025-06-18 00:20:33,407 - INFO - Processed Praggnanandhaa.pgn. Output: Praggnanandhaa.h5, Moves: 231748. Total moves so far: 1259072
2025-06-18 00:21:08,834 - INFO - Processed Portisch.pgn. Output: Portisch.h5, Moves: 235336. Total moves so far: 1494408
2025-06-18 00:25:17,512 - INFO - Processed Pachman.pgn. Output: Pachman.h5, Moves: 106100. Total moves so far: 1600508
2025-06-18 00:26:46,345 - INFO - Processed Petrosian.pgn. Output: Petrosian.h5, Moves: 132647. Total moves so far: 1733155
2025-06-18 00:34:15,312 - INFO - Processed Oll.pgn. Output: Oll.h5, Moves: 72189. Total moves so far: 1805344
2025-06-18 00:35:31,826 - INFO - Processed Olafsson.pgn. Output: Olafsson.h5, Moves: 68511. Total moves so far: 1873855
2025-06-18 00:36:02,868 - INFO - Processed Onischuk.pgn. Output: Onischuk.h5, Moves: 139077. Total moves so far: 2012932
2025-06-18 00:36:31,228 - INFO - Processed Nimzowitsch.pgn. Output: Nimzowitsch.h5, Moves: 43029. Total moves so far: 2055961
2025-06-18 00:44:05,458 - INFO - Processed Novikov.pgn. Output: Novikov.h5, Moves: 101073. Total moves so far: 2157034
2025-06-18 00:49:32,315 - INFO - Processed Nunn.pgn. Output: Nunn.h5, Moves: 127654. Total moves so far: 2284688
2025-06-18 01:04:01,963 - INFO - Processed Nisipeanu.pgn. Output: Nisipeanu.h5, Moves: 171147. Total moves so far: 2455835
2025-06-18 01:04:06,983 - INFO - Processed Paehtz.pgn. Output: Paehtz.h5, Moves: 285348. Total moves so far: 2741183
2025-06-18 01:06:11,141 - INFO - Processed Ni.pgn. Output: Ni.h5, Moves: 132926. Total moves so far: 2874109
2025-06-18 01:12:01,740 - INFO - Processed Nielsen.pgn. Output: Nielsen.h5, Moves: 160523. Total moves so far: 3034632
2025-06-18 01:22:35,886 - INFO - Processed Nikolic.pgn. Output: Nikolic.h5, Moves: 211564. Total moves so far: 3246196
2025-06-18 01:25:50,551 - INFO - Processed Morphy.pgn. Output: Morphy.h5, Moves: 13835. Total moves so far: 3260031
2025-06-18 01:32:09,524 - INFO - Processed Najdorf.pgn. Output: Najdorf.h5, Moves: 122158. Total moves so far: 3382189
2025-06-18 01:38:27,583 - INFO - Processed Najer.pgn. Output: Najer.h5, Moves: 212274. Total moves so far: 3594463
2025-06-18 01:41:10,295 - INFO - Processed Muzychuk.pgn. Output: Muzychuk.h5, Moves: 160415. Total moves so far: 3754878
2025-06-18 01:51:02,401 - INFO - Processed Mikenas.pgn. Output: Mikenas.h5, Moves: 43292. Total moves so far: 3798170
2025-06-18 01:59:11,315 - INFO - Processed Motylev.pgn. Output: Motylev.h5, Moves: 204685. Total moves so far: 4002855
2025-06-18 01:59:37,379 - INFO - Processed Milov.pgn. Output: Milov.h5, Moves: 120236. Total moves so far: 4123091
